dataset,row,file_name,split,image_found,gt_found,image_path,ground_truth_path,num_labels,note
TuSimple,1,985,,False,False,,,8,bare numeric id; no path/mapping saved -> UNRESOLVED (needs the id->clip mapping from the person who labeled it)
TuSimple,2,980,,False,False,,,6,bare numeric id; no path/mapping saved -> UNRESOLVED (needs the id->clip mapping from the person who labeled it)
TuSimple,3,9720,,False,False,,,8,bare numeric id; no path/mapping saved -> UNRESOLVED (needs the id->clip mapping from the person who labeled it)
TuSimple,4,9540,,False,False,,,6,bare numeric id; no path/mapping saved -> UNRESOLVED (needs the id->clip mapping from the person who labeled it)
TuSimple,5,945,,False,False,,,7,bare numeric id; no path/mapping saved -> UNRESOLVED (needs the id->clip mapping from the person who labeled it)
TuSimple,6,885,,False,False,,,7,bare numeric id; no path/mapping saved -> UNRESOLVED (needs the id->clip mapping from the person who labeled it)
TuSimple,7,7980,,False,False,,,7,bare numeric id; no path/mapping saved -> UNRESOLVED (needs the id->clip mapping from the person who labeled it)
TuSimple,8,6900,,False,False,,,6,bare numeric id; no path/mapping saved -> UNRESOLVED (needs the id->clip mapping from the person who labeled it)
TuSimple,9,6600,,False,False,,,6,bare numeric id; no path/mapping saved -> UNRESOLVED (needs the id->clip mapping from the person who labeled it)
TuSimple,10,64500,,False,False,,,8,bare numeric id; no path/mapping saved -> UNRESOLVED (needs the id->clip mapping from the person who labeled it)
TuSimple,11,63840,,False,False,,,8,bare numeric id; no path/mapping saved -> UNRESOLVED (needs the id->clip mapping from the person who labeled it)
TuSimple,12,620,,False,False,,,8,bare numeric id; no path/mapping saved -> UNRESOLVED (needs the id->clip mapping from the person who labeled it)
TuSimple,13,59940,,False,False,,,8,bare numeric id; no path/mapping saved -> UNRESOLVED (needs the id->clip mapping from the person who labeled it)
TuSimple,14,10020,,False,False,,,7,bare numeric id; no path/mapping saved -> UNRESOLVED (needs the id->clip mapping from the person who labeled it)
BDD100K,1,cabc30fc-e7726578.jpg,test,True,False,/shared/data/bdd100k/images/test/cabc30fc-e7726578.jpg,,8,test split has no ll_seg lane masks
BDD100K,2,cabc30fc-eb673c5a.jpg,test,True,False,/shared/data/bdd100k/images/test/cabc30fc-eb673c5a.jpg,,8,test split has no ll_seg lane masks
BDD100K,3,cabc9045-1b8282ba.jpg,test,True,False,/shared/data/bdd100k/images/test/cabc9045-1b8282ba.jpg,,10,test split has no ll_seg lane masks
BDD100K,4,cabc9045-581f64de.jpg,test,True,False,/shared/data/bdd100k/images/test/cabc9045-581f64de.jpg,,12,test split has no ll_seg lane masks
BDD100K,5,cabc9045-b3349548.jpg,test,True,False,/shared/data/bdd100k/images/test/cabc9045-b3349548.jpg,,11,test split has no ll_seg lane masks
BDD100K,6,cabddb96-ca0ac856.jpg,test,True,False,/shared/data/bdd100k/images/test/cabddb96-ca0ac856.jpg,,9,test split has no ll_seg lane masks
BDD100K,7,cabe1040-5f02711e.jpg,test,True,False,/shared/data/bdd100k/images/test/cabe1040-5f02711e.jpg,,8,test split has no ll_seg lane masks
BDD100K,8,cabe1040-c59cb390.jpg,test,True,False,/shared/data/bdd100k/images/test/cabe1040-c59cb390.jpg,,8,test split has no ll_seg lane masks
BDD100K,9,cabf7be1-36a39a28.jpg,test,True,False,/shared/data/bdd100k/images/test/cabf7be1-36a39a28.jpg,,10,test split has no ll_seg lane masks
BDD100K,10,cabf7be1-f1a7e00d.jpg,test,True,False,/shared/data/bdd100k/images/test/cabf7be1-f1a7e00d.jpg,,11,test split has no ll_seg lane masks
BDD100K,11,cabf9f3c-d58a6760.jpg,test,True,False,/shared/data/bdd100k/images/test/cabf9f3c-d58a6760.jpg,,7,test split has no ll_seg lane masks
BDD100K,12,cac07407-0396e053.jpg,test,True,False,/shared/data/bdd100k/images/test/cac07407-0396e053.jpg,,10,test split has no ll_seg lane masks
BDD100K,13,cac07407-0eb1c8bf.jpg,test,True,False,/shared/data/bdd100k/images/test/cac07407-0eb1c8bf.jpg,,9,test split has no ll_seg lane masks
BDD100K,14,cac07407-196cd6f8.jpg,test,True,False,/shared/data/bdd100k/images/test/cac07407-196cd6f8.jpg,,8,test split has no ll_seg lane masks
BDD100K,15,cac07407-bc0b048a.jpg,test,True,False,/shared/data/bdd100k/images/test/cac07407-bc0b048a.jpg,,7,test split has no ll_seg lane masks
BDD100K,16,cac07407-fe32e494.jpg,test,True,False,/shared/data/bdd100k/images/test/cac07407-fe32e494.jpg,,10,test split has no ll_seg lane masks
BDD100K,17,cac32276-2ea56b83.jpg,test,True,False,/shared/data/bdd100k/images/test/cac32276-2ea56b83.jpg,,8,test split has no ll_seg lane masks
BDD100K,18,cad180c4-d05b49f1.jpg,test,True,False,/shared/data/bdd100k/images/test/cad180c4-d05b49f1.jpg,,10,test split has no ll_seg lane masks
BDD100K,19,cade2aed-db2e9c98.jpg,test,True,False,/shared/data/bdd100k/images/test/cade2aed-db2e9c98.jpg,,11,test split has no ll_seg lane masks
BDD100K,20,cae49ab7-c87d52c4.jpg,test,True,False,/shared/data/bdd100k/images/test/cae49ab7-c87d52c4.jpg,,8,test split has no ll_seg lane masks
BDD100K,21,cae6c88d-0db9c3ab.jpg,test,True,False,/shared/data/bdd100k/images/test/cae6c88d-0db9c3ab.jpg,,10,test split has no ll_seg lane masks
BDD100K,22,cae73656-aeb2944f.jpg,test,True,False,/shared/data/bdd100k/images/test/cae73656-aeb2944f.jpg,,9,test split has no ll_seg lane masks
BDD100K,23,cae842b9-82d52302.jpg,test,True,False,/shared/data/bdd100k/images/test/cae842b9-82d52302.jpg,,8,test split has no ll_seg lane masks
BDD100K,24,caea91fd-e457bf7b.jpg,test,True,False,/shared/data/bdd100k/images/test/caea91fd-e457bf7b.jpg,,9,test split has no ll_seg lane masks
BDD100K,25,caeb0fbb-410c10ca.jpg,test,True,False,/shared/data/bdd100k/images/test/caeb0fbb-410c10ca.jpg,,9,test split has no ll_seg lane masks
BDD100K,26,caeb782d-4a20b7c4.jpg,test,True,False,/shared/data/bdd100k/images/test/caeb782d-4a20b7c4.jpg,,10,test split has no ll_seg lane masks
BDD100K,27,caee33ed-136d6b7c.jpg,test,True,False,/shared/data/bdd100k/images/test/caee33ed-136d6b7c.jpg,,9,test split has no ll_seg lane masks
BDD100K,28,caee33ed-bb44010a.jpg,test,True,False,/shared/data/bdd100k/images/test/caee33ed-bb44010a.jpg,,10,test split has no ll_seg lane masks
BDD100K,29,caf380ad-52f6a603.jpg,test,True,False,/shared/data/bdd100k/images/test/caf380ad-52f6a603.jpg,,9,test split has no ll_seg lane masks
BDD100K,30,caf73e65-16760e37.jpg,test,True,False,/shared/data/bdd100k/images/test/caf73e65-16760e37.jpg,,9,test split has no ll_seg lane masks
BDD100K,31,caf92153-8fdace82.jpg,test,True,False,/shared/data/bdd100k/images/test/caf92153-8fdace82.jpg,,8,test split has no ll_seg lane masks
BDD100K,32,caf92153-cfcdf92a.jpg,test,True,False,/shared/data/bdd100k/images/test/caf92153-cfcdf92a.jpg,,9,test split has no ll_seg lane masks
BDD100K,33,cafb3b52-f34e5454.jpg,test,True,False,/shared/data/bdd100k/images/test/cafb3b52-f34e5454.jpg,,10,test split has no ll_seg lane masks
BDD100K,34,cafb3e6f-22f2007e.jpg,test,True,False,/shared/data/bdd100k/images/test/cafb3e6f-22f2007e.jpg,,9,test split has no ll_seg lane masks
BDD100K,35,cafca327-47cae51f.jpg,test,True,False,/shared/data/bdd100k/images/test/cafca327-47cae51f.jpg,,8,test split has no ll_seg lane masks
BDD100K,36,caff5d9a-35754dcf.jpg,test,True,False,/shared/data/bdd100k/images/test/caff5d9a-35754dcf.jpg,,10,test split has no ll_seg lane masks
BDD100K,37,cb0287d1-207cdf5c.jpg,test,True,False,/shared/data/bdd100k/images/test/cb0287d1-207cdf5c.jpg,,8,test split has no ll_seg lane masks
BDD100K,38,cb0287d1-622df962.jpg,test,True,False,/shared/data/bdd100k/images/test/cb0287d1-622df962.jpg,,8,test split has no ll_seg lane masks
BDD100K,39,cb031b03-0f3ed476.jpg,test,True,False,/shared/data/bdd100k/images/test/cb031b03-0f3ed476.jpg,,10,test split has no ll_seg lane masks
BDD100K,40,cb031b03-cc89642d.jpg,test,True,False,/shared/data/bdd100k/images/test/cb031b03-cc89642d.jpg,,9,test split has no ll_seg lane masks
BDD100K,41,cb05eaa9-f2430836.jpg,test,True,False,/shared/data/bdd100k/images/test/cb05eaa9-f2430836.jpg,,8,test split has no ll_seg lane masks
BDD100K,42,cb063b6c-158d56f6.jpg,test,True,False,/shared/data/bdd100k/images/test/cb063b6c-158d56f6.jpg,,7,test split has no ll_seg lane masks
BDD100K,43,cb078020-ab5a89f2.jpg,test,True,False,/shared/data/bdd100k/images/test/cb078020-ab5a89f2.jpg,,11,test split has no ll_seg lane masks
BDD100K,44,cb0bdd89-5bdf8abc.jpg,test,True,False,/shared/data/bdd100k/images/test/cb0bdd89-5bdf8abc.jpg,,8,test split has no ll_seg lane masks
BDD100K,45,cb0e6066-8c6456bf.jpg,test,True,False,/shared/data/bdd100k/images/test/cb0e6066-8c6456bf.jpg,,10,test split has no ll_seg lane masks
BDD100K,46,cb1294f1-3faf01b9.jpg,test,True,False,/shared/data/bdd100k/images/test/cb1294f1-3faf01b9.jpg,,8,test split has no ll_seg lane masks
BDD100K,47,cb1294f1-fba3ff7d.jpg,test,True,False,/shared/data/bdd100k/images/test/cb1294f1-fba3ff7d.jpg,,9,test split has no ll_seg lane masks
BDD100K,48,cb13d27e-aed37c4c.jpg,test,True,False,/shared/data/bdd100k/images/test/cb13d27e-aed37c4c.jpg,,9,test split has no ll_seg lane masks
BDD100K,49,cb1f05ca-28b96d3e.jpg,test,True,False,/shared/data/bdd100k/images/test/cb1f05ca-28b96d3e.jpg,,7,test split has no ll_seg lane masks
BDD100K,50,cb22c820-f094952f.jpg,test,True,False,/shared/data/bdd100k/images/test/cb22c820-f094952f.jpg,,10,test split has no ll_seg lane masks
CurveLane,1,ffffcd23465e090e03c0095c5effe77a.jpg,train,True,True,/shared/data/Curvelanes/train/images/ffffcd23465e090e03c0095c5effe77a.jpg,/shared/data/Curvelanes/train/labels/ffffcd23465e090e03c0095c5effe77a.lines.json,9,
