dataset_name,image_name,I1,I2,I3,I4,I5,I6
bdd100k,bdd100k_val_b1c66a42-6f7d68ca.jpg,0.365,0.796,0.611,0.734,0.005,9
bdd100k,bdd100k_val_b1d0091f-75824d0d.jpg,0.325,1,0.799,0.746,0.003,7
bdd100k,bdd100k_val_b1d0a191-03dcecc2.jpg,0.585,0.541,0.537,0.722,0.083,11
bdd100k,bdd100k_val_b1d0a191-5490450b.jpg,0.082,0.592,0.758,0.781,0.412,2
bdd100k,bdd100k_val_b1d3907b-2278601b.jpg,0.202,1,0.825,0.794,0.002,4
bdd100k,bdd100k_val_b1d4b62c-89eeb5d3.jpg,0.025,1,0.738,0.791,0.094,5
bdd100k,bdd100k_val_b1d4b62c-d9805029.jpg,0.256,1,0.807,0.763,0.001,3
bdd100k,bdd100k_val_b1d7b3ac-afa57f22.jpg,0.31,0.178,0.107,0.751,0,2
bdd100k,bdd100k_val_b1d968b9-563405f4.jpg,0.463,0.532,0.469,0.73,0.057,9
bdd100k,bdd100k_val_b1d971b4-ac67ca0d.jpg,0.362,0.313,0.656,0.805,0,3
bdd100k,bdd100k_val_b1d9e136-6c94ea3f.jpg,0.569,0.754,0.735,0.637,0.042,5
bdd100k,bdd100k_val_b1dac7f7-6b2e0382.jpg,0.566,0.664,0.553,0.726,0.003,10
bdd100k,bdd100k_val_b1e0c01d-dd9e6e2f.jpg,0.639,0.721,0.586,0.726,0.01,4
bdd100k,bdd100k_val_b1e3e9f5-92377424.jpg,0.395,0.588,0.253,0.732,0,5
bdd100k,bdd100k_val_b1e62c91-eca210a9.jpg,0.923,1,0.745,0.918,0,2
bdd100k,bdd100k_val_b1e8ad72-c3c79240.jpg,0.701,0.638,0.819,0.631,0.002,6
bdd100k,bdd100k_val_b1ea0ae4-4f770228.jpg,0.28,0.748,0.451,0.686,0.014,7
bdd100k,bdd100k_val_b1ee702d-525fcebf.jpg,0.263,0.548,0.561,0.554,0.001,1
bdd100k,bdd100k_val_b1f022d3-3774de8b.jpg,0.38,0.797,0.84,0.704,0.058,11
